NR;Gender;Age;State;Working status;Children in household (<18);Household size;Net household income;Civil status;Academic / Professional education;School education;City;Urban (>100k Pop.);Country;Platform;1. I see myself as someone who...:... is reserved.;1. I see myself as someone who...:... is generally trusting.;1. I see myself as someone who...:... tends to be lazy.;1. I see myself as someone who...:... is relaxed, handles stress well.;1. I see myself as someone who...:... has few artistic interests.;1. I see myself as someone who...:... is outgoing, sociable.;1. I see myself as someone who...:... tends to find fault with others.;1. I see myself as someone who...:... does a thorough job.;1. I see myself as someone who...:... gets nervous easily.;1. I see myself as someone who...:... has an active imagination.;2. Please, Indicate your level of agreement::I think jokes about gender are funny.;2. Please, Indicate your level of agreement::I enjoy clever insults.;2. Please, Indicate your level of agreement::I like pictures of cute animals.;2. Please, Indicate your level of agreement::I am very familiar with Game of Thrones.;2. Please, Indicate your level of agreement::I think jokes about other people's appearance are funny.;2. Please, Indicate your level of agreement::I like puns.;2. Please, Indicate your level of agreement::I think men only care about themselves while having sex.;2. Please, Indicate your level of agreement::I am amused by self-deprecating jokes.;2. Please, Indicate your level of agreement::I like a good comeback.;2. Please, Indicate your level of agreement::I enjoy romantic comedies.;3. Please, Indicate your level of agreement::I would like to explore strange places.;3. Please, Indicate your level of agreement::I get restless when I spend too much time at home.;3. Please, Indicate your level of agreement::I like to do frightening things.;3. Please, Indicate your level of agreement::I like wild parties.;3. Please, Indicate your level of agreement::I would like to take off on a trip with no pre-planned routes or timetables.;3. Please, Indicate your level of agreement::I prefer friends who are excitingly unpredictable.;3. Please, Indicate your level of agreement::I would like to try bungee jumping.;3. Please, Indicate your level of agreement::I would love to have new and exciting experiences, even if they are illegal.;4. Please, Indicate your level of agreement::I often say or write jokes and funny stories;4. Please, Indicate your level of agreement::I'm confident that I can make other people laugh;4. Please, Indicate your level of agreement::I use humor to entertain my friends;4. Please, Indicate your level of agreement::I can often crack people up with the things I say;5. Imagine a person with the following characteristics,   <br><br><b>Caring<br> Compassionate<br> Fair<br> Friendly<br> Generous<br> Helpful<br> Hardworking<br> Honest<br> Kind:It would make me feel good to be this person.;5. Imagine a person with the following characteristics,   <br><br><b>Caring<br> Compassionate<br> Fair<br> Friendly<br> Generous<br> Helpful<br> Hardworking<br> Honest<br> Kind:Being a person like this is an important part of who I am.;5. Imagine a person with the following characteristics,   <br><br><b>Caring<br> Compassionate<br> Fair<br> Friendly<br> Generous<br> Helpful<br> Hardworking<br> Honest<br> Kind:I would be ashamed to be this person.;5. Imagine a person with the following characteristics,   <br><br><b>Caring<br> Compassionate<br> Fair<br> Friendly<br> Generous<br> Helpful<br> Hardworking<br> Honest<br> Kind:Having these characteristics is not really important to me.;5. Imagine a person with the following characteristics,   <br><br><b>Caring<br> Compassionate<br> Fair<br> Friendly<br> Generous<br> Helpful<br> Hardworking<br> Honest<br> Kind:I strongly desire to have these characteristics.;7. Please indicate how much you agree::I am cheerful.;7. Please indicate how much you agree::I am ready to have some fun.;7. Please indicate how much you agree::I could laugh at the drop of a hat.;7. Please indicate how much you agree::I'm walking on air.;7. Please indicate how much you agree::I am amused.;7. Please indicate how much you agree::I am delighted.;8. How do you currently feel?:Upset;8. How do you currently feel?:Hostile;8. How do you currently feel?:Alert;8. How do you currently feel?:Ashamed;8. How do you currently feel?:Inspired;8. How do you currently feel?:Nervous;8. How do you currently feel?:Determined;8. How do you currently feel?:Attentive;8. How do you currently feel?:Afraid;8. How do you currently feel?:Active;9. Next, humorous texts and images will be shown. Each time, we will ask two questions about your response.;"10. ""Knock, knock. Who’s there? Olive. Olive, who? Olive you, and I don’t care who knows it."" (in ?)";"11. ""Knock, knock. Who’s there? Olive. Olive, who? Olive you, and I don’t care who knows it.""";"12. ""I'm not saying I hate you, but I would unplug your life support to charge my phone."" (in ?)";"13. ""I'm not saying I hate you, but I would unplug your life support to charge my phone.""";"14. ""Can a kangaroo jump higher than the Empire State Building?"" ""Of course. The Empire State Building can't jump."" (in ?)";"15. ""Can a kangaroo jump higher than the Empire State Building?"" ""Of course. The Empire State Building can't jump.""";"16. ""It’s true that I’m CUTE: C(ringy), U(nattractive), T(rash), and E(asy to forget)."" (in ?)";"17. ""It’s true that I’m CUTE: C(ringy), U(nattractive), T(rash), and E(asy to forget).""";"18. ""What’s the difference between a G-spot and a golf ball?""  ""A man will actually search for a golf ball."" (in ?)";"19. ""What’s the difference between a G-spot and a golf ball?""  ""A man will actually search for a golf ball.""";20. How funny do you find this image? (in ?);21. Final evaluation:;22. How funny do you find this image? (in ?);23. Final evaluation:;24. How funny do you find this image? (in ?);25. Final evaluation:;26. How funny do you find this image? (in ?);27. Final evaluation:;28. How funny do you find this image? (in ?);29. Final evaluation:;30. How hard was it for you to understand the English language/vocabulary in the jokes? (in ?)
445;m;40;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;3;1;4;4;5;1;5;2;5;5;4;5;5;5;5;1;5;5;4;5;1;2;5;1;3;5;4;4;5;4;4;3;2;1;5;2;5;5;2;1;4;4;1;1;5;1;4;3;3;3;1;4;-;2;Bad joke;7;Good joke;5;Good joke;7;Good joke;6;Good joke;7;Good joke;6;Good joke;7;Good joke;3;Bad joke;5;Good joke;1
446;m;33;Alabama;-;-;-;-;-;-;-;St. Clair;-;USA;Android;3;4;3;3;4;3;3;5;3;4;3;4;4;5;4;3;3;3;4;4;4;2;5;4;4;5;3;4;3;4;4;4;4;4;3;4;5;5;5;3;1;3;5;2;2;4;3;4;3;4;3;3;5;-;6;Good joke;7;Good joke;7;Good joke;5;Bad joke;6;Good joke;4;Bad joke;4;Good joke;4;Bad joke;5;Good joke;7;Good joke;3
447;f;50;-;-;-;-;-;-;-;-;-;-;GBR;iOS;3;4;3;3;1;3;2;5;3;3;1;3;3;1;1;3;1;1;3;5;4;1;1;3;4;3;1;1;3;3;2;2;4;4;1;3;4;3;4;3;4;3;3;3;2;4;3;4;3;4;5;4;4;-;1;Bad joke;4;Bad joke;4;Bad joke;4;Bad joke;5;Bad joke;4;Bad joke;4;Bad joke;4;Good joke;4;Bad joke;6;Bad joke;2
448;m;23;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;5;1;5;4;5;3;5;5;5;1;1;5;1;1;5;1;4;5;5;5;4;5;4;5;3;5;5;5;5;5;5;5;5;1;1;5;5;5;5;4;4;5;2;1;5;1;4;3;5;4;2;4;-;7;Good joke;5;Bad joke;7;Good joke;7;Good joke;6;Good joke;7;Good joke;5;Good joke;7;Good joke;7;Good joke;7;Good joke;1
449;m;35;Georgia;-;-;-;-;-;-;-;Fulton;-;USA;iOS;4;4;3;4;3;3;2;4;3;3;5;5;4;3;5;3;4;4;4;3;4;4;4;4;3;3;4;4;4;5;4;4;4;3;4;4;4;4;3;4;3;3;3;4;4;4;5;4;4;4;4;4;3;-;4;Good joke;4;Good joke;4;Good joke;5;Good joke;2;Good joke;4;Good joke;4;Good joke;4;Good joke;6;Good joke;5;Good joke;3
450;f;30;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;4;4;4;3;2;2;4;5;4;3;4;4;1;2;4;2;5;5;4;5;1;3;1;4;3;4;2;4;3;4;4;4;4;1;1;4;4;4;5;1;4;4;2;2;3;2;3;3;3;3;2;2;-;1;Bad joke;1;Bad joke;2;Bad joke;1;Bad joke;3;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;3;Bad joke;1;Bad joke;1
451;m;46;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;3;2;5;2;3;2;5;2;4;4;4;4;1;4;4;3;4;4;1;3;2;2;3;3;3;1;4;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;4;3;1;2;1;4;3;3;4;-;1;Bad joke;2;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;6;Good joke;3;Bad joke;1;Bad joke;1;Bad joke;2;Bad joke;1
452;f;24;California;-;-;-;-;-;-;-;San Mateo;-;USA;iOS;3;3;4;2;3;3;2;3;4;3;2;3;3;3;3;3;2;3;3;3;2;3;3;3;1;2;3;1;3;2;3;3;5;5;1;1;4;4;3;2;3;3;3;1;3;3;3;3;2;3;3;3;3;-;3;Bad joke;4;Bad joke;6;Good joke;5;Good joke;4;Good joke;4;Bad joke;2;Bad joke;3;Bad joke;4;Good joke;6;Good joke;4
453;m;20;Alaska;-;-;-;-;-;-;-;Anchorage Municipality;-;USA;Android;5;5;4;5;2;4;1;5;4;5;5;3;4;5;2;2;2;2;5;4;3;1;1;1;5;4;1;2;4;5;5;5;2;2;2;2;4;5;5;4;4;4;4;3;1;2;1;5;1;5;4;1;5;-;3;Bad joke;7;Good joke;4;Bad joke;5;Good joke;5;Good joke;4;Bad joke;5;Good joke;6;Good joke;5;Good joke;7;Good joke;1
454;m;39;-;-;-;-;-;-;-;-;-;-;GBR;Android;2;4;3;4;3;5;2;4;3;4;4;4;4;5;3;4;1;3;5;4;5;4;4;2;5;3;4;3;3;4;4;5;4;4;1;3;4;4;4;4;4;4;3;3;3;4;2;4;3;4;4;2;3;-;4;Bad joke;6;Good joke;5;Bad joke;6;Good joke;7;Good joke;6;Good joke;6;Good joke;7;Good joke;6;Good joke;6;Good joke;2
455;m;33;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;5;1;5;4;4;1;5;4;5;4;4;5;5;5;4;4;1;5;5;5;2;1;2;4;4;4;1;5;5;5;5;5;5;1;1;5;4;1;4;1;4;5;2;1;5;2;5;2;5;5;5;5;-;5;Good joke;7;Bad joke;4;Good joke;4;Good joke;5;Good joke;5;Good joke;3;Good joke;3;Good joke;4;Good joke;7;Good joke;1
456;m;22;Georgia;-;-;-;-;-;-;-;Fulton;-;USA;Android;4;4;1;5;5;3;5;5;3;1;5;5;5;5;5;3;5;5;5;5;5;3;5;3;5;5;5;5;5;5;5;5;1;5;5;4;5;4;1;4;5;5;5;5;5;5;5;5;2;5;5;5;3;-;6;Good joke;7;Good joke;5;Good joke;5;Good joke;6;Good joke;5;Good joke;6;Good joke;7;Good joke;7;Good joke;7;Good joke;5
457;f;30;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;5;4;1;2;3;2;4;5;2;3;3;5;1;1;4;3;1;4;5;4;4;2;2;1;3;1;2;1;1;1;1;4;3;2;3;4;2;3;1;1;3;4;4;3;2;3;3;4;2;2;4;2;-;2;Bad joke;1;Bad joke;6;Good joke;1;Bad joke;6;Good joke;1;Bad joke;1;Bad joke;1;Bad joke;4;Good joke;6;Good joke;1
458;f;53;West Virginia;-;-;-;-;-;-;-;Wyoming;-;USA;iOS;3;5;1;1;5;5;4;5;4;5;1;3;5;1;1;3;4;2;4;3;1;1;5;1;5;1;1;1;3;4;4;5;5;5;1;1;4;5;4;5;4;4;5;2;3;4;2;4;2;5;4;1;5;-;2;Bad joke;2;Bad joke;1;Good joke;5;Good joke;5;Good joke;5;Good joke;4;Good joke;4;Bad joke;3;Bad joke;6;Good joke;1
459;f;53;Ohio;-;-;-;-;-;-;-;Summit;-;USA;Android;2;3;2;4;3;4;2;5;2;4;4;4;3;1;3;4;3;3;4;3;4;4;5;3;4;4;1;4;4;5;5;5;5;3;1;2;4;4;5;5;2;4;3;1;1;1;1;2;3;1;3;1;1;-;5;Good joke;4;Good joke;4;Good joke;1;Bad joke;5;Good joke;1;Bad joke;4;Bad joke;1;Bad joke;3;Bad joke;1;Bad joke;1
460;f;35;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;5;2;2;4;2;3;5;4;4;2;3;4;2;1;4;1;1;3;4;3;5;1;1;4;2;1;1;1;4;4;4;5;5;1;1;5;4;4;4;3;4;4;5;2;2;4;3;5;3;4;5;3;-;1;Bad joke;1;Bad joke;1;Bad joke;2;Bad joke;3;Bad joke;1;Bad joke;1;Bad joke;2;Bad joke;4;Good joke;2;Bad joke;1
461;m;23;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;5;1;5;3;5;1;5;4;5;1;1;4;4;1;1;2;1;5;5;4;5;4;4;5;5;5;1;5;5;4;5;5;5;1;1;5;5;5;4;3;5;4;3;1;5;4;5;4;5;5;3;5;-;6;Good joke;5;Good joke;1;Bad joke;6;Good joke;6;Good joke;1;Bad joke;6;Good joke;2;Bad joke;6;Good joke;7;Good joke;2
462;m;59;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;4;1;5;2;4;1;5;1;3;2;4;3;5;2;5;1;5;5;5;4;1;2;1;5;4;4;1;1;4;4;3;5;4;1;1;4;4;4;4;4;4;3;1;1;4;1;3;1;4;5;1;3;-;6;Good joke;1;Bad joke;6;Good joke;1;Bad joke;7;Good joke;2;Bad joke;2;Bad joke;4;Good joke;5;Good joke;6;Good joke;1
463;m;36;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;5;5;5;4;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;5;5;5;3;3;4;3;4;4;4;4;4;4;1;4;4;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;4;-;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;5
464;m;20;New York;-;-;-;-;-;-;-;Kings;-;USA;Android;5;5;4;5;4;5;4;4;3;5;4;4;4;4;4;4;4;3;5;4;4;4;4;5;4;5;4;4;5;4;5;4;5;5;4;4;5;4;5;3;1;5;5;2;2;4;3;5;3;5;4;3;5;-;5;Good joke;5;Good joke;1;Bad joke;4;Good joke;6;Good joke;5;Good joke;4;Good joke;5;Good joke;5;Good joke;2;Good joke;3
465;f;52;-;-;-;-;-;-;-;-;-;-;GBR;iOS;3;5;1;1;1;3;2;4;5;5;3;5;5;2;1;4;1;5;5;4;5;1;3;1;5;1;1;4;3;5;4;5;5;5;1;1;5;1;2;2;2;2;2;4;2;2;1;3;4;2;2;4;1;-;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;6;Good joke;2;Good joke;1
466;f;23;Texas;-;-;-;-;-;-;-;Dallas;-;USA;Android;5;5;4;5;4;4;2;5;3;5;3;1;5;1;5;4;3;5;5;4;4;1;2;1;3;4;3;1;3;4;5;5;5;5;1;1;5;5;5;2;3;4;5;4;1;5;1;5;3;5;5;1;5;-;6;Good joke;2;Bad joke;6;Good joke;6;Good joke;6;Good joke;5;Good joke;3;Bad joke;6;Good joke;6;Good joke;7;Good joke;2
467;m;28;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;5;5;5;3;2;1;1;4;2;1;2;1;2;1;1;3;2;5;1;1;2;2;1;1;1;2;1;2;2;2;2;5;5;1;1;5;2;4;2;2;1;1;1;1;1;1;1;1;4;5;2;2;-;3;Good joke;4;Good joke;4;Good joke;5;Good joke;1;Bad joke;1;Bad joke;1;Bad joke;3;Good joke;5;Good joke;5;Good joke;2
468;f;35;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;5;1;5;2;5;2;5;2;4;4;2;5;5;4;3;3;2;4;5;4;2;2;2;2;3;2;1;4;4;4;4;5;5;1;1;5;5;5;4;1;5;5;2;2;4;2;5;2;5;4;2;4;-;5;Good joke;5;Good joke;2;Bad joke;1;Bad joke;2;Bad joke;2;Bad joke;1;Bad joke;5;Good joke;4;Good joke;6;Good joke;1
469;f;44;Massachusetts;-;-;-;-;-;-;-;Middlesex;-;USA;iOS;3;3;4;3;3;3;3;3;3;3;4;4;5;5;4;5;5;4;3;5;4;4;4;3;3;4;3;3;5;4;4;5;4;4;4;4;4;3;1;3;3;3;3;3;3;3;2;3;3;3;4;3;4;-;6;Bad joke;4;Bad joke;6;Good joke;6;Good joke;5;Good joke;6;Good joke;1;Bad joke;6;Good joke;6;Good joke;6;Bad joke;3
470;m;30;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;5;1;5;5;5;1;5;1;5;2;3;5;4;1;3;3;3;5;5;5;4;3;3;5;5;3;3;5;5;5;5;5;5;2;1;5;5;5;5;4;5;5;1;3;5;1;1;1;5;5;1;5;-;7;Good joke;4;Good joke;5;Good joke;6;Bad joke;6;Good joke;5;Good joke;5;Bad joke;7;Good joke;7;Good joke;6;Good joke;1
471;m;55;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;3;2;3;3;3;4;2;4;5;5;4;4;1;4;5;1;2;4;2;3;4;3;4;5;3;5;4;4;4;4;4;5;4;1;1;4;4;4;3;2;4;4;3;3;3;1;3;2;4;3;2;3;-;5;Good joke;6;Good joke;4;Bad joke;4;Bad joke;4;Bad joke;5;Good joke;2;Bad joke;4;Bad joke;3;Bad joke;6;Good joke;4
472;f;27;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;5;4;1;3;2;2;4;4;3;3;2;5;1;2;3;2;1;4;5;4;4;2;1;3;3;1;2;3;4;4;4;5;3;1;3;4;4;4;4;3;4;4;4;1;3;1;3;3;4;4;2;3;-;4;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;5;Good joke;4;Good joke;1;Bad joke;5;Good joke;6;Good joke;4;Bad joke;1
473;f;21;Illinois;-;-;-;-;-;-;-;Cook;-;USA;Android;5;5;3;4;5;1;1;4;5;4;3;2;5;1;1;5;3;1;4;2;5;5;4;1;4;1;1;3;3;4;5;5;5;5;5;5;5;4;5;5;4;4;4;2;1;4;1;4;4;5;5;4;3;-;4;Bad joke;4;Bad joke;4;Bad joke;1;Bad joke;5;Good joke;7;Good joke;5;Good joke;1;Bad joke;1;Bad joke;1;Bad joke;2
474;f;25;Georgia;-;-;-;-;-;-;-;Cobb;-;USA;Android;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;3;3;4;4;3;4;3;4;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;1;2;2;2;3;2;3;-;3;Bad joke;6;Good joke;5;Good joke;5;Good joke;4;Good joke;4;Bad joke;5;Good joke;5;Good joke;5;Good joke;5;Good joke;1
475;f;38;California;-;-;-;-;-;-;-;Los Angeles;-;USA;Android;3;4;2;4;4;4;1;5;3;3;3;3;5;5;4;3;3;4;5;5;3;3;3;3;4;4;3;2;3;4;4;4;4;4;1;2;4;4;4;4;4;4;5;2;2;3;1;4;2;5;4;2;4;-;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;5;Good joke;5;Good joke;6;Good joke;4
476;m;34;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;3;4;4;4;4;4;5;4;4;3;4;4;4;3;4;3;4;4;3;4;4;4;4;4;4;3;4;4;3;4;3;3;3;-;5;Good joke;4;Bad joke;4;Good joke;5;Good joke;5;Good joke;6;Good joke;6;Bad joke;5;Good joke;5;Good joke;5;Good joke;4
477;m;33;-;-;-;-;-;-;-;-;-;-;GBR;iOS;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;2;5;2;5;4;2;5;-;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;5
478;f;48;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;5;3;1;4;1;5;3;5;3;3;3;5;4;1;3;5;3;3;2;4;4;2;1;5;3;1;3;1;1;1;1;5;5;1;1;5;1;3;1;1;1;3;4;4;2;4;2;4;2;3;4;3;-;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;1
479;m;47;-;-;-;-;-;-;-;-;-;-;GBR;Android;2;5;4;2;2;5;4;4;5;5;3;5;3;5;1;5;5;2;5;3;5;1;3;3;5;4;1;5;5;5;5;5;5;5;1;1;5;3;3;2;2;2;2;4;2;2;3;3;4;2;2;4;2;-;1;Bad joke;4;Bad joke;3;Bad joke;2;Bad joke;5;Good joke;1;Bad joke;1;Bad joke;3;Bad joke;3;Bad joke;4;Bad joke;1
480;f;20;Ohio;-;-;-;-;-;-;-;Cuyahoga;-;USA;iOS;4;3;5;1;4;1;2;4;4;4;1;3;4;5;1;5;3;4;4;1;4;1;1;1;3;3;3;1;1;1;4;1;4;4;1;3;4;3;2;4;1;4;4;4;1;2;4;1;5;4;4;3;3;-;1;Bad joke;6;Good joke;1;Bad joke;1;Bad joke;6;Good joke;1;Bad joke;6;Good joke;1;Bad joke;6;Good joke;1;Bad joke;1
481;m;39;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;4;4;4;5;4;4;5;5;5;5;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;5;-;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;5
482;f;30;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;5;1;1;2;4;2;5;4;4;4;5;5;1;3;5;1;3;5;5;2;1;1;1;1;2;1;1;1;4;4;3;5;4;1;1;5;4;4;3;4;4;5;1;1;3;1;4;2;4;4;1;4;-;2;Bad joke;4;Good joke;3;Bad joke;1;Bad joke;5;Good joke;5;Good joke;1;Bad joke;4;Bad joke;6;Good joke;6;Good joke;1
483;f;22;Alaska;-;-;-;-;-;-;-;Anchorage Municipality;-;USA;Android;5;3;4;3;4;5;4;5;4;5;3;3;5;5;1;5;2;4;5;5;4;3;2;3;4;3;4;3;5;5;5;5;5;5;1;1;5;5;5;5;1;4;4;4;3;4;3;5;2;5;5;2;5;-;5;Bad joke;5;Bad joke;3;Bad joke;7;Good joke;6;Good joke;7;Good joke;7;Good joke;5;Bad joke;7;Good joke;7;Good joke;3
484;m;35;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;5;5;3;4;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;3;5;4;5;4;3;3;4;5;5;5;5;5;4;5;1;5;4;3;3;1;3;5;4;4;2;4;3;4;1;4;4;5;-;1;Bad joke;4;Bad joke;3;Good joke;1;Bad joke;1;Bad joke;1;Bad joke;5;Good joke;1;Bad joke;2;Bad joke;1;Bad joke;1
485;m;24;Illinois;-;-;-;-;-;-;-;Cook;-;USA;Android;4;4;4;3;3;4;4;4;2;3;4;4;5;4;2;5;3;4;4;4;4;4;4;4;4;3;4;4;4;3;4;2;3;3;3;4;5;4;3;3;4;4;3;3;2;3;3;4;3;3;3;2;4;-;5;Good joke;6;Bad joke;4;Bad joke;5;Bad joke;5;Good joke;5;Good joke;5;Good joke;7;Good joke;6;Good joke;6;Good joke;4
486;f;19;-;-;-;-;-;-;-;-;-;-;GBR;iOS;5;4;5;5;4;2;5;3;4;5;4;5;5;4;5;5;3;5;5;4;5;4;2;3;5;5;4;3;5;5;5;4;5;4;5;3;5;4;4;4;5;3;5;4;3;3;4;3;4;3;3;4;3;-;5;Bad joke;5;Good joke;5;Good joke;5;Good joke;5;Bad joke;4;Bad joke;4;Good joke;7;Good joke;7;Good joke;5;Good joke;3
487;m;50;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;3;2;4;5;3;4;5;4;5;3;4;3;1;3;5;3;3;4;4;4;4;2;2;1;2;1;3;4;5;4;4;5;5;1;1;5;4;3;2;1;3;3;2;2;4;1;3;2;4;4;2;3;-;4;Good joke;3;Good joke;3;Bad joke;3;Bad joke;5;Good joke;3;Bad joke;6;Good joke;3;Bad joke;5;Good joke;3;Bad joke;1
488;f;33;Pennsylvania;-;-;-;-;-;-;-;Lehigh;-;USA;Android;4;3;4;4;5;4;5;4;3;4;4;3;4;4;4;5;3;5;4;4;5;4;4;4;4;4;3;4;3;3;5;4;4;4;4;3;3;4;4;4;5;4;5;4;3;4;1;4;3;5;5;1;4;-;5;Bad joke;3;Bad joke;5;Good joke;3;Bad joke;6;Good joke;3;Bad joke;2;Bad joke;6;Good joke;3;Good joke;2;Bad joke;2
489;f;40;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;4;3;4;2;4;2;4;5;3;4;4;5;5;4;4;2;4;3;2;4;2;2;4;4;4;1;3;4;4;3;4;5;5;1;1;5;4;4;2;2;3;4;2;3;4;3;3;4;2;4;4;2;-;2;Bad joke;3;Good joke;4;Bad joke;3;Bad joke;5;Good joke;5;Bad joke;2;Bad joke;5;Good joke;5;Good joke;5;Good joke;4
490;f;30;New York;-;-;-;-;-;-;-;New York;-;USA;Android;4;5;5;5;4;4;5;4;5;5;5;5;4;4;4;5;4;5;5;5;5;5;5;4;4;5;5;4;4;4;5;5;4;5;4;5;4;4;5;4;5;5;4;5;4;4;4;4;4;4;5;3;4;-;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;7;Good joke;6;Good joke;7;Good joke;4
491;f;37;Ohio;-;-;-;-;-;-;-;Lorain;-;USA;iOS;4;5;4;4;2;4;3;4;4;1;4;5;1;2;4;5;2;4;4;4;2;5;2;1;2;2;1;2;1;4;4;3;5;5;1;5;5;4;4;3;1;2;2;3;1;3;1;2;3;3;2;3;1;-;2;Bad joke;2;Bad joke;3;Bad joke;2;Bad joke;5;Bad joke;3;Bad joke;2;Bad joke;2;Bad joke;5;Good joke;2;Bad joke;1
492;f;19;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;1;4;1;5;1;4;4;5;5;2;4;5;3;2;4;4;5;5;1;4;4;1;1;5;1;1;1;2;2;4;4;5;4;1;1;5;3;4;4;2;4;1;3;3;2;4;3;5;3;2;3;1;-;5;Good joke;7;Good joke;4;Bad joke;6;Good joke;6;Good joke;5;Good joke;6;Good joke;7;Good joke;7;Good joke;4;Bad joke;1
493;f;36;Tennessee;-;-;-;-;-;-;-;Williamson;-;USA;iOS;1;4;2;4;4;5;5;4;4;2;2;1;4;1;1;4;5;1;5;4;1;4;1;1;2;1;1;1;4;5;5;4;5;5;1;1;5;4;5;2;1;4;4;1;1;5;1;4;1;5;5;1;3;-;7;Good joke;1;Bad joke;4;Good joke;1;Bad joke;3;Good joke;3;Bad joke;1;Bad joke;3;Bad joke;1;Bad joke;1;Bad joke;1
494;f;36;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;2;4;2;2;1;4;4;5;4;3;3;4;1;1;4;3;3;4;5;1;3;1;1;3;3;1;3;1;2;3;2;5;5;1;1;5;1;4;3;1;2;1;4;3;3;1;2;3;2;2;2;3;-;5;Good joke;3;Bad joke;4;Good joke;1;Bad joke;7;Good joke;5;Good joke;1;Bad joke;4;Good joke;3;Bad joke;1;Bad joke;1
495;f;27;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;3;5;5;5;5;3;5;-;7;Bad joke;7;Good joke;4;Bad joke;4;Bad joke;7;Bad joke;7;Good joke;5;Good joke;7;Good joke;7;Good joke;7;Good joke;5
496;m;39;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;5;5;5;4;4;5;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;4;4;4;4;4;5;4;5;5;3;5;5;5;5;4;5;5;5;5;5;5;-;7;Good joke;7;Good joke;7;Good joke;5;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;6;Good joke;5
